prefilter_rank,feature_index,status,hits,hit_rate,mean_importance,max_importance,mutual_information,layer_index,aggregation_component,within_component_dim
772,1777,tentative,46,0.46,0.0008848435764654693,0.003778793591544324,0.060317929834127426,1,mean,241
773,6589,confirmed,75,0.75,0.001799279134457354,0.005866277570364324,0.08555150032043457,3,mean,445
774,21568,confirmed,100,1.0,0.005345515455240682,0.011738351212161187,0.12019892781972885,10,min,64
775,1173,rejected,15,0.15,0.0004625468163234122,0.0017038987601382032,0.1015758290886879,1,min,405
776,11375,rejected,13,0.13,0.0004329827867424791,0.0015768781932674531,0.08544863015413284,5,mean,623
777,17943,rejected,13,0.13,0.00038481008746496563,0.001445990906014674,0.08144080638885498,8,mean,279
778,1716,rejected,4,0.04,0.0001773866629077931,0.0012370006665577003,0.07928658276796341,1,mean,180
779,16722,rejected,21,0.21,0.0005216859763030224,0.001950715688383222,0.08447745442390442,8,max,594
780,22432,rejected,2,0.02,0.00019283410450413093,0.001122316877065371,0.07165169715881348,10,mean,160
781,21859,tentative,43,0.43,0.0008411547422674296,0.00248240883022167,0.1433917135000229,10,min,355
782,11022,rejected,1,0.01,0.0001641295909696805,0.0008608750679165427,0.08083152770996094,5,mean,270
783,5648,confirmed,69,0.69,0.0014024599886058497,0.005471489597972353,0.09278542548418045,3,min,272
784,9948,confirmed,80,0.8,0.001926407917217287,0.006771972310719817,0.12445943802595139,5,max,732
785,9926,rejected,17,0.17,0.0004051902221633648,0.002045116282441236,0.0874369665980339,5,max,710
786,10800,rejected,9,0.09,0.0004042032971710626,0.00174750544200936,0.08382608741521835,5,mean,48
787,24686,rejected,6,0.06,0.00026469855138479146,0.0011169671458875648,0.06374485790729523,11,mean,110
788,22960,confirmed,70,0.7,0.0014333998198684378,0.004946713117836695,0.0855688750743866,10,mean,688
789,7981,rejected,29,0.29,0.000643856538181675,0.002949666093644765,0.10208139568567276,4,min,301
790,4318,rejected,5,0.05,0.00022436421309536436,0.0010804250097385094,0.0642663985490799,2,mean,478
791,20730,rejected,0,0.0,0.0001966612243528635,0.000691721349793268,0.0921654924750328,9,mean,762
792,26689,rejected,16,0.16,0.0004366149790142556,0.0017752714860932673,0.0765591636300087,12,min,577
